,ADANA,ADIYAMAN,AFYON,A?RI,AMASYA,ANKARA,ANTALYA,ARTV?N,AYDIN,BALIKES?R,B?LEC?K,B?NGÖL,B?TL?S,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DEN?ZL?,D?YARBAKIR,ED?RNE,ELAZI?,ERZ?NCAN,ERZURUM,ESK??EH?R,GAZ?ANTEP,G?RESUN,GÜMÜ?HANE,HAKKAR?,HATAY,ISPARTA,MERS?N,?STANBUL,?ZM?R,KARS,KASTAMONU,KAYSER?,KIRKLAREL?,KIR?EH?R,KOCAEL?,KONYA,KÜTAHYA,MALATYA,MAN?SA,KAHRAMANMARA?,MARD?N,MU?LA,MU?,NEV?EH?R,N??DE,ORDU,R?ZE,SAKARYA,SAMSUN,S??RT,S?NOP,S?VAS,TEK?RDA?,TOKAT,TRABZON,TUNCEL?,?ANLIURFA,U?AK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,?IRNAK,BARTIN,ARDAHAN,I?DIR,YALOVA,KARABÜK,K?L?S,OSMAN?YE,DÜZCE
N??DE,205,534,459,939,441,348,544,976,769,783,646,709,902,535,552,715,983,387,370,646,720,1027,567,569,758,566,410,621,680,1105,396,502,198,797,786,958,501,128,1008,173,686,242,559,469,770,390,735,791,819,82,,612,820,649,542,906,637,323,929,393,746,699,547,575,1042,268,612,123,702,175,286,819,916,627,980,1049,751,559,447,290,580
ORDU,718,728,822,591,280,566,1095,414,1164,1048,837,590,756,624,988,897,1168,480,324,1041,729,1116,588,323,410,799,714,44,207,1025,810,987,787,886,1145,610,450,484,1097,538,775,781,877,561,1129,634,824,1186,673,558,612,,255,738,152,853,315,314,1018,219,181,453,812,934,823,426,701,633,285,787,491,787,948,631,523,701,840,564,773,734,669
R?ZE,926,853,1077,548,535,821,1310,159,1419,1303,1092,557,713,879,1243,1152,1423,735,579,1296,701,1371,570,305,377,1054,915,211,174,922,1018,1242,995,1141,1400,361,705,692,1352,793,1030,996,1132,668,1384,842,796,1441,630,773,820,255,,993,407,810,570,497,1273,474,74,435,877,1189,720,681,956,848,252,995,746,754,905,886,268,495,1095,819,974,942,924
SAKARYA,791,1060,304,1258,523,305,568,1152,601,310,99,1159,1352,114,446,159,430,349,466,489,1215,378,1062,888,1077,174,976,782,945,1664,982,445,784,148,481,1277,362,623,359,489,37,512,204,964,445,896,1301,634,1269,580,649,738,993,,586,1402,534,745,280,637,919,1018,1113,343,1490,521,183,526,980,625,380,1315,1482,272,1261,1368,102,248,1033,876,69
SAMSUN,729,752,670,743,131,414,954,566,1012,896,685,715,908,472,836,745,1016,328,172,889,818,964,665,444,562,647,725,196,359,1177,821,835,740,734,993,762,298,449,945,388,623,640,725,585,977,645,913,1034,825,464,542,152,407,586,,999,163,338,866,230,333,574,836,782,975,276,549,498,437,708,339,912,1094,479,675,853,688,412,784,745,517
S??RT,701,388,1274,331,889,1097,1259,659,1584,1598,1399,284,97,1288,1367,1468,1739,1109,953,1461,187,1780,340,555,446,1319,496,809,646,284,692,1317,770,1550,1601,529,1141,779,1761,913,1439,1057,1374,438,1585,552,230,1570,180,860,906,853,810,1402,999,,1147,667,1682,775,746,425,359,1390,265,891,1365,935,568,990,1026,87,95,1322,588,434,1504,1255,555,616,1333
S?NOP,842,894,670,906,258,414,958,729,1012,844,633,868,1061,420,836,693,964,283,267,889,960,912,807,597,725,647,867,359,522,1340,963,835,835,682,993,925,183,544,893,483,571,672,725,727,977,787,1055,1034,978,559,637,315,570,534,163,1147,,480,814,372,496,727,978,782,1138,371,453,593,600,783,388,1060,1242,364,838,1016,636,297,926,887,465
S?VAS,429,414,696,616,222,440,813,653,1026,973,753,469,662,631,809,822,1093,442,286,903,480,1123,327,246,435,673,425,298,357,951,521,759,498,893,1019,635,474,195,1104,325,782,499,751,247,1003,345,575,1048,579,276,323,314,497,745,338,667,480,,1025,108,423,376,498,808,802,224,708,351,379,498,365,580,762,655,657,726,847,588,484,445,676
TEK?RDA?,1071,1340,584,1538,803,585,848,1432,629,380,379,1439,1632,394,726,375,188,629,746,668,1495,140,1342,1168,1357,454,1256,1062,1225,1944,1262,725,1064,132,505,1557,642,903,121,769,243,792,484,1244,515,1176,1581,728,1549,860,929,1018,1273,280,866,1682,814,1025,,917,1199,1298,1393,605,1770,801,463,806,1260,905,660,1595,1762,552,1541,1648,308,528,1313,1156,349
TOKAT,499,522,634,674,114,378,876,633,976,911,691,575,768,523,800,760,1031,334,178,853,588,1015,435,304,493,611,495,263,374,1059,591,799,568,785,957,693,366,265,996,319,674,562,689,355,941,415,683,998,685,339,393,219,474,637,230,775,372,108,917,,400,434,606,746,906,207,600,414,396,568,303,688,870,547,715,784,739,480,554,515,568
TRABZON,852,779,1003,484,461,747,1236,233,1345,1229,1018,483,649,805,1169,1078,1349,661,505,1222,627,1297,496,231,303,980,841,137,100,918,944,1168,921,1067,1326,435,631,618,1278,719,956,922,1058,594,1310,768,722,1367,566,699,746,181,74,919,333,746,496,423,1199,400,,361,803,1115,716,607,882,774,178,921,672,680,841,812,342,569,1021,745,900,868,850
TUNCEL?,621,418,1068,424,495,812,1179,461,1402,1328,1117,141,334,904,1185,1177,1448,743,587,1279,276,1396,135,130,243,1045,480,424,261,646,612,1135,690,1166,1391,443,747,571,1377,701,1055,875,1123,233,1375,456,371,1424,251,652,699,453,435,1018,574,425,727,376,1298,434,361,,452,1180,474,600,981,727,260,874,737,338,520,928,465,534,1120,861,539,536,949
?ANLIURFA,342,110,915,619,720,808,900,726,1225,1239,1110,320,385,999,1008,1179,1439,838,767,1102,176,1491,329,582,500,1030,137,796,703,558,333,958,411,1261,1242,703,952,490,1472,624,1150,698,1015,269,1226,217,188,1211,434,571,547,812,877,1113,836,359,978,498,1393,606,803,452,,1031,553,665,1076,607,625,631,737,272,369,1091,730,722,1215,1023,196,257,1044
U?AK,689,1018,116,1420,702,368,294,1348,273,225,249,1218,1411,457,172,311,425,499,610,150,1207,633,1076,1050,1239,217,894,978,1120,1589,880,171,681,491,211,1439,613,637,650,541,380,339,139,978,195,874,1219,295,1328,556,575,934,1189,343,782,1390,782,808,605,746,1115,1180,1031,,1551,584,526,481,1142,452,443,1303,1400,615,1457,1530,378,559,931,774,412
VAN,895,582,1435,232,967,1232,1453,569,1745,1754,1534,337,168,1376,1528,1603,1874,1215,1059,1622,377,1868,475,602,416,1454,690,779,616,202,886,1478,964,1638,1762,365,1219,914,1849,1048,1527,1218,1532,573,1746,746,452,1764,223,995,1042,823,720,1490,975,265,1138,802,1770,906,716,474,553,1551,,1026,1453,1070,538,1184,1161,303,360,1400,452,225,1592,1333,749,810,1421
YOZGAT,473,612,472,840,196,216,684,840,814,749,529,693,886,407,638,598,869,246,104,691,704,899,551,470,659,449,528,470,581,1175,624,605,466,669,795,859,295,175,880,112,558,370,527,471,779,448,799,836,803,190,268,426,681,521,276,891,371,224,801,207,607,600,665,584,1026,,484,222,603,432,141,804,986,476,881,950,623,409,587,548,452
ZONGULDAK,754,1023,487,1221,486,268,751,1115,784,493,282,1122,1315,159,629,342,613,312,429,672,1178,561,1025,851,1040,357,939,745,908,1627,945,628,747,331,664,1240,270,586,542,452,220,522,387,927,628,859,1264,817,1232,543,612,701,956,183,549,1365,453,708,463,600,882,981,1076,526,1453,484,,489,943,633,343,1278,1445,89,1224,1331,285,176,996,839,114
AKSARAY,265,593,365,967,418,225,462,1004,675,689,523,737,930,412,458,592,863,311,326,552,748,904,595,597,786,443,470,649,708,1165,456,408,258,674,692,986,425,156,885,110,563,148,465,497,676,429,795,697,847,75,123,633,848,526,498,935,593,351,806,414,774,727,607,481,1070,222,489,,730,210,210,848,976,504,1008,1077,628,436,507,350,457
BAYBURT,808,654,1030,306,457,774,1192,343,1372,1290,1079,305,471,866,1188,1139,1410,705,549,1249,449,1358,395,153,125,1007,740,241,78,740,872,1138,877,1128,1353,325,709,574,1339,704,1017,878,1085,493,1337,716,544,1394,388,655,702,285,252,980,437,568,600,379,1260,396,178,260,625,1142,538,603,943,730,,877,699,502,663,890,347,416,1082,823,799,796,911
KARAMAN,289,618,336,1114,616,369,375,1151,643,660,531,884,1016,556,421,600,860,500,536,520,807,1003,742,744,933,451,494,796,855,1189,480,370,235,773,663,1133,614,303,984,320,662,119,436,644,647,474,819,662,994,257,175,787,995,625,708,990,783,498,905,568,921,874,631,452,1184,432,633,210,877,,412,903,1000,648,1155,1224,660,580,531,374,601
KIRIKKALE,475,684,331,977,259,75,615,905,673,608,388,828,1021,266,497,457,728,105,167,550,839,758,686,607,796,308,600,535,677,1295,666,496,468,528,654,996,219,247,739,113,417,301,386,588,638,520,925,695,938,204,286,491,746,380,339,1026,388,365,660,303,672,737,737,443,1161,141,343,210,699,412,,939,1106,358,1014,1087,482,290,659,560,311
BATMAN,614,301,1187,369,802,1010,1172,603,1497,1511,1312,197,135,1201,1280,1381,1652,1022,866,1374,100,1693,253,468,377,1232,409,743,580,371,605,1230,683,1463,1514,567,1054,692,1674,826,1352,970,1287,351,1498,465,149,1483,218,773,819,787,754,1315,912,87,1060,580,1595,688,680,338,272,1303,303,804,1278,848,502,903,939,,182,1235,607,472,1417,1168,468,529,1246
?IRNAK,711,478,1284,426,984,1177,1269,754,1594,1608,1479,379,192,1368,1377,1548,1808,1204,1048,1471,282,1860,435,650,541,1399,506,904,741,189,702,1327,780,1630,1611,624,1236,859,1841,993,1519,1067,1384,533,1595,586,204,1580,275,940,916,948,905,1482,1094,95,1242,762,1762,870,841,520,369,1400,360,986,1445,976,663,1000,1106,182,,1417,683,529,1584,1350,565,626,1413
BARTIN,769,1038,515,1168,433,283,803,1045,857,582,371,1069,1262,174,681,431,702,282,376,734,1135,650,982,798,987,446,954,675,838,1574,960,680,762,420,753,1187,181,601,631,467,309,537,476,902,717,874,1230,879,1179,558,627,631,886,272,479,1322,364,655,552,547,812,928,1091,615,1400,476,89,504,890,648,358,1235,1417,,1154,1278,374,87,1011,854,203
ARDAHAN,1034,759,1345,310,776,1089,1470,117,1683,1571,1360,410,491,1147,1466,1420,1691,1003,847,1560,554,1639,548,411,230,1322,867,479,425,654,1025,1416,1103,1409,1668,93,973,852,1620,982,1298,1156,1400,646,1652,869,649,1705,408,933,980,523,268,1261,675,588,838,657,1541,715,342,465,730,1457,452,881,1224,1008,347,1155,1014,607,683,1154,,227,1363,1087,926,949,1192
I?DIR,1064,751,1418,143,845,1162,1539,344,1752,1678,1467,474,337,1254,1535,1527,1798,1093,937,1629,546,1746,612,480,294,1395,859,657,494,427,1055,1485,1133,1516,1741,140,1097,921,1727,1051,1405,1225,1473,710,1725,915,621,1774,388,1002,1049,701,495,1368,853,434,1016,726,1648,784,569,534,722,1530,225,950,1331,1077,416,1224,1087,472,529,1278,227,,1470,1211,918,979,1299
YALOVA,893,1162,339,1360,625,407,603,1254,507,216,129,1261,1454,216,481,69,336,451,568,502,1317,406,1164,990,1179,209,1078,884,1047,1766,1084,480,886,176,387,1379,464,725,387,591,65,547,239,1066,351,998,1403,606,1371,682,751,840,1095,102,688,1504,636,847,308,739,1021,1120,1215,378,1592,623,285,628,1082,660,482,1417,1584,374,1363,1470,,350,1135,978,171
KARABÜK,701,970,447,1101,366,215,735,978,789,558,347,1002,1195,134,613,407,678,195,309,666,1068,626,915,731,920,422,886,608,771,1507,892,612,694,396,729,1120,114,533,607,399,285,469,452,835,693,806,1163,811,1112,490,559,564,819,248,412,1255,297,588,528,480,745,861,1023,559,1333,409,176,436,823,580,290,1168,1350,87,1087,1211,350,,943,786,179
K?L?S,242,209,815,815,668,730,800,922,1125,1139,1010,516,581,919,908,1079,1339,760,689,1002,372,1411,404,669,696,930,63,782,800,754,147,858,311,1181,1142,899,874,412,1392,546,1070,598,915,306,1126,139,384,1111,630,493,447,773,974,1033,784,555,926,484,1313,554,900,539,196,931,749,587,996,507,799,531,659,468,565,1011,926,918,1135,943,,157,964
OSMAN?YE,85,244,658,876,629,575,643,945,968,982,853,543,642,762,751,922,1182,661,650,845,433,1254,401,666,719,773,120,743,797,815,127,701,154,1024,985,922,775,373,1235,460,913,441,758,303,969,100,445,954,653,372,290,734,942,876,745,616,887,445,1156,515,868,536,257,774,810,548,839,350,796,374,560,529,626,854,949,979,978,786,157,,807
DÜZCE,722,991,373,1189,454,236,637,1083,670,379,168,1090,1283,45,515,228,499,280,397,558,1146,447,993,819,1008,243,907,713,876,1595,913,514,715,217,550,1208,293,554,428,420,106,490,273,895,514,827,1232,703,1200,511,580,669,924,69,517,1333,465,676,349,568,850,949,1044,412,1421,452,114,457,911,601,311,1246,1413,203,1192,1299,171,179,964,807,
